id,value,relationship,x,y
Napoleon,1,Napoleon->Myriel,-326.5722,-456.10342
Mlle.Baptistine,8,Mlle.Baptistine->Myriel,-114.60866,-258.69543
Mme.Magloire,10,Mme.Magloire->Myriel,-147.56654,-247.29549
Mme.Magloire,6,Mme.Magloire->Mlle.Baptistine,-147.56654,-247.29549
CountessdeLo,1,CountessdeLo->Myriel,-246.02286,-551.0207
Geborand,1,Geborand->Myriel,-275.18823,-515.1146
Champtercier,1,Champtercier->Myriel,-188.92407,-554.50494
Cravatte,1,Cravatte->Myriel,-146.6534,-531.07837
Count,2,Count->Myriel,-217.9466,-510.4986
OldMan,1,OldMan->Myriel,-314.53607,-500.45206
Valjean,1,Valjean->Labarre,-51.78453,-38.942287
Valjean,3,Valjean->Mme.Magloire,-51.78453,-38.942287
Valjean,3,Valjean->Mlle.Baptistine,-51.78453,-38.942287
Valjean,5,Valjean->Myriel,-51.78453,-38.942287
Marguerite,1,Marguerite->Valjean,-207.27106,40.93105
Mme.deR,1,Mme.deR->Valjean,-90.667656,-174.00917
Isabeau,1,Isabeau->Valjean,-57.92689,-198.65283
Gervais,1,Gervais->Valjean,-187.55176,-162.5833
Listolier,4,Listolier->Tholomyes,-254.43108,287.21588
Fameuil,4,Fameuil->Tholomyes,-273.9744,267.00085
Fameuil,4,Fameuil->Listolier,-273.9744,267.00085
Blacheville,4,Blacheville->Tholomyes,-227.54422,282.25015
Blacheville,4,Blacheville->Listolier,-227.54422,282.25015
Blacheville,4,Blacheville->Fameuil,-227.54422,282.25015
Favourite,3,Favourite->Tholomyes,-238.93977,252.62543
Favourite,3,Favourite->Listolier,-238.93977,252.62543
Favourite,3,Favourite->Fameuil,-238.93977,252.62543
Favourite,4,Favourite->Blacheville,-238.93977,252.62543
Dahlia,3,Dahlia->Tholomyes,-283.55612,240.27121
Dahlia,3,Dahlia->Listolier,-283.55612,240.27121
Dahlia,3,Dahlia->Fameuil,-283.55612,240.27121
Dahlia,3,Dahlia->Blacheville,-283.55612,240.27121
Dahlia,5,Dahlia->Favourite,-283.55612,240.27121
Zephine,3,Zephine->Tholomyes,-259.42078,227.83728
Zephine,3,Zephine->Listolier,-259.42078,227.83728
Zephine,3,Zephine->Fameuil,-259.42078,227.83728
Zephine,3,Zephine->Blacheville,-259.42078,227.83728
Zephine,4,Zephine->Favourite,-259.42078,227.83728
Zephine,4,Zephine->Dahlia,-259.42078,227.83728
Fantine,3,Fantine->Tholomyes,-164.02777,145.06383
Fantine,3,Fantine->Listolier,-164.02777,145.06383
Fantine,3,Fantine->Fameuil,-164.02777,145.06383
Fantine,3,Fantine->Blacheville,-164.02777,145.06383
Fantine,4,Fantine->Favourite,-164.02777,145.06383
Fantine,4,Fantine->Dahlia,-164.02777,145.06383
Fantine,4,Fantine->Zephine,-164.02777,145.06383
Fantine,2,Fantine->Marguerite,-164.02777,145.06383
Fantine,9,Fantine->Valjean,-164.02777,145.06383
Mme.Thenardier,2,Mme.Thenardier->Fantine,-10.987312,105.44426
Mme.Thenardier,7,Mme.Thenardier->Valjean,-10.987312,105.44426
Thenardier,13,Thenardier->Mme.Thenardier,42.11955,112.88642
Thenardier,1,Thenardier->Fantine,42.11955,112.88642
Thenardier,12,Thenardier->Valjean,42.11955,112.88642
Cosette,4,Cosette->Mme.Thenardier,-45.892784,126.44478
Cosette,31,Cosette->Valjean,-45.892784,126.44478
Cosette,1,Cosette->Tholomyes,-45.892784,126.44478
Cosette,1,Cosette->Thenardier,-45.892784,126.44478
Javert,17,Javert->Valjean,-9.781557,27.497692
Javert,5,Javert->Fantine,-9.781557,27.497692
Javert,5,Javert->Thenardier,-9.781557,27.497692
Javert,1,Javert->Mme.Thenardier,-9.781557,27.497692
Javert,1,Javert->Cosette,-9.781557,27.497692
Fauchelevent,8,Fauchelevent->Valjean,63.2403,-147.83212
Fauchelevent,1,Fauchelevent->Javert,63.2403,-147.83212
Bamatabois,1,Bamatabois->Fantine,-157.9374,-12.59235
Bamatabois,1,Bamatabois->Javert,-157.9374,-12.59235
Bamatabois,2,Bamatabois->Valjean,-157.9374,-12.59235
Perpetue,1,Perpetue->Fantine,-283.92502,120.20767
Simplice,2,Simplice->Perpetue,-160.34259,63.674694
Simplice,3,Simplice->Valjean,-160.34259,63.674694
Simplice,2,Simplice->Fantine,-160.34259,63.674694
Simplice,1,Simplice->Javert,-160.34259,63.674694
Scaufflaire,1,Scaufflaire->Valjean,-138.19237,-171.4962
Woman1,2,Woman1->Valjean,-2.712952,-95.87179
Woman1,1,Woman1->Javert,-2.712952,-95.87179
Judge,3,Judge->Valjean,-216.58774,-51.24574
Judge,2,Judge->Bamatabois,-216.58774,-51.24574
Champmathieu,3,Champmathieu->Valjean,-197.36003,-100.50225
Champmathieu,3,Champmathieu->Judge,-197.36003,-100.50225
Champmathieu,2,Champmathieu->Bamatabois,-197.36003,-100.50225
Brevet,2,Brevet->Judge,-167.2612,-89.13941
Brevet,2,Brevet->Champmathieu,-167.2612,-89.13941
Brevet,2,Brevet->Valjean,-167.2612,-89.13941
Brevet,1,Brevet->Bamatabois,-167.2612,-89.13941
Chenildieu,2,Chenildieu->Judge,-221.84492,-80.86098
Chenildieu,2,Chenildieu->Champmathieu,-221.84492,-80.86098
Chenildieu,2,Chenildieu->Brevet,-221.84492,-80.86098
Chenildieu,2,Chenildieu->Valjean,-221.84492,-80.86098
Chenildieu,1,Chenildieu->Bamatabois,-221.84492,-80.86098
Cochepaille,2,Cochepaille->Judge,-186.20331,-60.745693
Cochepaille,2,Cochepaille->Champmathieu,-186.20331,-60.745693
Cochepaille,2,Cochepaille->Brevet,-186.20331,-60.745693
Cochepaille,2,Cochepaille->Chenildieu,-186.20331,-60.745693
Cochepaille,2,Cochepaille->Valjean,-186.20331,-60.745693
Cochepaille,1,Cochepaille->Bamatabois,-186.20331,-60.745693
Pontmercy,1,Pontmercy->Thenardier,85.28436,274.44308
